"category","variable","survey_question","variable_logic","variable_label","value","value_label","value_logic"
"Attitudes toward autonomous vehicles","av_future_travel","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","995","Missing: Skip logic",NA
"Attitudes toward autonomous vehicles","av_future_travel","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","998","I don't know",NA
"Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","-9998","Missing: Non-response",NA
"Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","1","Very interested",NA
"Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","2","Somewhat interested",NA
"Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","3","Neutral",NA
"Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","4","Somewhat uninterested",NA
"Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","5","Not at all interested",NA
"Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","995","Missing: Skip logic",NA
"Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","998","I don't know",NA
"Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","-9998","Missing: Non-response",NA
"Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","1","Very interested",NA
"Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","2","Somewhat interested",NA
"Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","3","Neutral",NA
"Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","4","Somewhat uninterested",NA
"Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","5","Not at all interested",NA
"Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","995","Missing: Skip logic",NA
"Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","998","I don't know",NA
"Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","-9998","Missing: Non-response",NA
"Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","1","6-7 days a week",NA
"Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","2","5 days a week",NA
"Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","3","4 days a week",NA
"Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","4","2-3 days a week",NA
"Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","5","1 day a week",NA
"Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","6","1-3 days a month",NA
"Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","7","Less than monthly",NA
"Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","8","Never",NA
"Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","995","Missing: Skip logic",NA
"Demographics","disability","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","-9998","Missing: Non-response",NA
"Demographics","disability","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","0","No",NA
"Demographics","disability","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","1","Yes",NA
"Demographics","disability","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","995","Missing: Skip logic",NA
"Demographics","disability","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","999","Prefer not to answer",NA
"Shared mobility","drives_tnc","Which of the following [shared mobility services], if any, do you use? Select all that apply.","If adult and has license","Drives for Uber, Lyft, or other smartphone-app ride service","-9998","Missing: Non-response",NA
"Shared mobility","drives_tnc","Which of the following [shared mobility services], if any, do you use? Select all that apply.","If adult and has license","Drives for Uber, Lyft, or other smartphone-app ride service","0","No",NA
"Shared mobility","drives_tnc","Which of the following [shared mobility services], if any, do you use? Select all that apply.","If adult and has license","Drives for Uber, Lyft, or other smartphone-app ride service","1","Yes",NA
"Shared mobility","drives_tnc","Which of the following [shared mobility services], if any, do you use? Select all that apply.","If adult and has license","Drives for Uber, Lyft, or other smartphone-app ride service","995","Missing: Skip logic",NA
"Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","-9998","Missing: Non-response",NA
"Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","1","Less than high school",NA
"Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","2","High school graduate/GED",NA
"Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","3","Some college",NA
"Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","4","Vocational/technical training",NA
"Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","5","Associate degree",NA
"Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","6","Bachelor's degree",NA
"Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","7","Graduate/post-graduate degree",NA
"Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","995","Missing: Skip logic",NA
"Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","999","Prefer not to answer",NA
"Demographics","employment_status","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","-9998","Missing: Non-response",NA
"Demographics","employment_status","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","1","Full-time ",NA
"Demographics","employment_status","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","2","Part-time",NA
"Demographics","employment_status","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","3","Self-employed",NA
"Demographics","employment_status","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","6","Not employed",NA
"Demographics","employment_status","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","7","Unpaid volunteer or intern",NA
"Demographics","employment_status","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","995","Missing: Skip logic",NA
"Demographics","ethnicity_afam","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","-9998","Missing: Non-response",NA
"Demographics","ethnicity_afam","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","0","No",NA
"Demographics","ethnicity_afam","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","1","Yes",NA
"Demographics","ethnicity_afam","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","995","Missing: Skip logic",NA
"Demographics","ethnicity_afam","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","999","Prefer not to answer",NA
"Demographics","ethnicity_aiak","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","-9998","Missing: Non-response",NA
"Demographics","ethnicity_aiak","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","0","No",NA
"Demographics","ethnicity_aiak","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","1","Yes",NA
"Demographics","ethnicity_aiak","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","995","Missing: Skip logic",NA
"Demographics","ethnicity_aiak","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","999","Prefer not to answer",NA
"Demographics","ethnicity_asian","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","-9998","Missing: Non-response",NA
"Demographics","ethnicity_asian","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","0","No",NA
"Demographics","ethnicity_asian","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","1","Yes",NA
"Demographics","ethnicity_asian","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","995","Missing: Skip logic",NA
"Demographics","ethnicity_asian","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","999","Prefer not to answer",NA
"Demographics","ethnicity_hapi","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","-9998","Missing: Non-response",NA
"Demographics","ethnicity_hapi","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","0","No",NA
"Demographics","ethnicity_hapi","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","1","Yes",NA
"Demographics","ethnicity_hapi","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","995","Missing: Skip logic",NA
"Demographics","ethnicity_hapi","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","999","Prefer not to answer",NA
"Demographics","ethnicity_hisp","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","-9998","Missing: Non-response",NA
"Demographics","ethnicity_hisp","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","0","No",NA
"Demographics","ethnicity_hisp","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","1","Yes",NA
"Demographics","ethnicity_hisp","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","995","Missing: Skip logic",NA
"Demographics","ethnicity_hisp","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","999","Prefer not to answer",NA
"Demographics","ethnicity_mideast","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","-9998","Missing: Non-response",NA
"Demographics","ethnicity_mideast","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","0","No",NA
"Demographics","ethnicity_mideast","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","1","Yes",NA
"Demographics","ethnicity_mideast","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","995","Missing: Skip logic",NA
"Demographics","ethnicity_mideast","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","999","Prefer not to answer",NA
"Demographics","ethnicity_other","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","-9998","Missing: Non-response",NA
"Demographics","ethnicity_other","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","0","No",NA
"Demographics","ethnicity_other","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","1","Yes",NA
"Demographics","ethnicity_other","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","995","Missing: Skip logic",NA
"Demographics","ethnicity_other","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","999","Prefer not to answer",NA
"Demographics","ethnicity_white","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","-9998","Missing: Non-response",NA
"Demographics","ethnicity_white","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","0","No",NA
"Demographics","ethnicity_white","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","1","Yes",NA
"Demographics","ethnicity_white","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","995","Missing: Skip logic",NA
"Demographics","ethnicity_white","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","999","Prefer not to answer",NA
"Demographics","gender","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","-9998","Missing: Non-response",NA
"Demographics","gender","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","1","Female",NA
"Demographics","gender","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","2","Male",NA
"Demographics","gender","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","3","Transgender",NA
"Demographics","gender","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","4","Non-binary/third gender",NA
"Demographics","gender","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","997","Other/Prefer to self-describe",NA
"Demographics","gender","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","999","Prefer not to answer",NA
"Demographics","job_type","What is your work location like?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Usual work location","-9998","Missing: Non-response",NA
"Demographics","job_type","What is your work location like?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Usual work location","1","Only one work location (outside of home, may also telework)",NA
"Demographics","job_type","What is your work location like?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Usual work location","2","Work location regularly varies (different offices/jobsites)",NA
"Demographics","job_type","What is your work location like?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Usual work location","3","Work at home ONLY (telework, self-employed)",NA
"Demographics","job_type","What is your work location like?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Usual work location","4","Drive/travel for work (driver, sales)",NA
"Demographics","job_type","What is your work location like?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Usual work location","995","Missing: Skip logic",NA
"Demographics","license","Do you have a driver's license or learner's permit?","Age 16+ in groups 1 & 2, adults in group 3","Has a valid driver's license or permit","-9998","Missing: Non-response",NA
"Demographics","license","Do you have a driver's license or learner's permit?","Age 16+ in groups 1 & 2, adults in group 3","Has a valid driver's license or permit","0","No",NA
"Demographics","license","Do you have a driver's license or learner's permit?","Age 16+ in groups 1 & 2, adults in group 3","Has a valid driver's license or permit","1","Yes (license or learner's permit)",NA
"Demographics","license","Do you have a driver's license or learner's permit?","Age 16+ in groups 1 & 2, adults in group 3","Has a valid driver's license or permit","995","Missing: Skip logic",NA
"Survey metadata","missing_school_location",NA,"If non-homeschooled student","Missing school location","0","No",NA
"Survey metadata","missing_school_location",NA,"If non-homeschooled student","Missing school location","1","Yes",NA
"Survey metadata","missing_school_location",NA,"If non-homeschooled student","Missing school location","995","Missing: Skip logic",NA
"Survey metadata","missing_work_location",NA,"If doesn't drive for a living/doesn't always work from home","Missing work location","-9998","Missing: Non-response",NA
"Survey metadata","missing_work_location",NA,"If doesn't drive for a living/doesn't always work from home","Missing work location","0","No",NA
"Survey metadata","missing_work_location",NA,"If doesn't drive for a living/doesn't always work from home","Missing work location","1","Yes",NA
"Survey metadata","missing_work_location",NA,"If doesn't drive for a living/doesn't always work from home","Missing work location","995","Missing: Skip logic",NA
"Shared mobility","no_shared_mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses none of the above share services","-9998","Missing: Non-response",NA
"Shared mobility","no_shared_mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses none of the above share services","0","No",NA
"Shared mobility","no_shared_mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses none of the above share services","1","Yes",NA
"Shared mobility","no_shared_mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses none of the above share services","995","Missing: Skip logic",NA
"Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","-9999","Missing: Error",NA
"Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","-9998","Missing: Non-response",NA
"Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","1","1",NA
"Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","2","2",NA
"Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","3","3",NA
"Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","4","4",NA
"Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","5","5",NA
"Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","6","6 or more",NA
"Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","995","Missing: Skip logic",NA
"Survey metadata","participation_group",NA,NA,"Participation method","-9998","Missing: Non-response",NA
"Survey metadata","participation_group",NA,NA,"Participation method","1","Online or call center recruit, rMove diary",NA
"Survey metadata","participation_group",NA,NA,"Participation method","2","Online or call center recruit, online or call center diary",NA
"Survey metadata","participation_group",NA,NA,"Participation method","3","rMove recruit, rMove diary",NA
"Survey metadata","relationship","Household person 1 provided the relationship of each household member to themselves.",NA,"Relationship to household person number 1","-9998","Missing: Non-response",NA
"Survey metadata","relationship","Household person 1 provided the relationship of each household member to themselves.",NA,"Relationship to household person number 1","0","Self",NA
"Survey metadata","relationship","Household person 1 provided the relationship of each household member to themselves.",NA,"Relationship to household person number 1","1","Spouse or partner",NA
"Survey metadata","relationship","Household person 1 provided the relationship of each household member to themselves.",NA,"Relationship to household person number 1","2","Son or daughter (or child in-law)",NA
"Survey metadata","relationship","Household person 1 provided the relationship of each household member to themselves.",NA,"Relationship to household person number 1","3","Father or mother (or parent in-law)",NA
"Survey metadata","relationship","Household person 1 provided the relationship of each household member to themselves.",NA,"Relationship to household person number 1","4","Brother or sister (or sibling in-law)",NA
"Survey metadata","relationship","Household person 1 provided the relationship of each household member to themselves.",NA,"Relationship to household person number 1","5","Other relative (e.g., grandchild, cousin)",NA
"Survey metadata","relationship","Household person 1 provided the relationship of each household member to themselves.",NA,"Relationship to household person number 1","6","Roommate or friend",NA
"Survey metadata","relationship","Household person 1 provided the relationship of each household member to themselves.",NA,"Relationship to household person number 1","7","Household help",NA
"Survey metadata","relationship","Household person 1 provided the relationship of each household member to themselves.",NA,"Relationship to household person number 1","997","Other",NA
"Commute","school_bus","Is there school bus service available (for your child/ren)?","If under age 18 and not cared for at home or homeschooled","School bus available in district","-9998","Missing: Non-response",NA
"Commute","school_bus","Is there school bus service available (for your child/ren)?","If under age 18 and not cared for at home or homeschooled","School bus available in district","0","No",NA
"Commute","school_bus","Is there school bus service available (for your child/ren)?","If under age 18 and not cared for at home or homeschooled","School bus available in district","1","Yes",NA
"Commute","school_bus","Is there school bus service available (for your child/ren)?","If under age 18 and not cared for at home or homeschooled","School bus available in district","995","Missing: Skip logic",NA
"Commute","school_bus","Is there school bus service available (for your child/ren)?","If under age 18 and not cared for at home or homeschooled","School bus available in district","998","Don't know",NA
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","-9998","Missing: Non-response",NA
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","1","Walk, jog, or roll using a mobility device)",NA
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","2","Bicycle",NA
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","3","Drive alone","If has license"
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","4","Carpool with only family/household member(s)","If household has more than one member"
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","5","Carpool with at least one person not in household",NA
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","6","Motorcycle/moped/scooter",NA
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","7","Bus (public transit)",NA
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","8","Private shuttle bus",NA
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","9","Paratransit",NA
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","10","Vanpool",NA
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","11","Taxi (e.g., Yellow Cab)",NA
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","12","Uber, Lyft, or other smartphone-app ride service",NA
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","13","Subway",NA
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","14","Light rail",NA
"Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","15","Intercity rail (e.g., Amtrak)",NA
