"","which_table","variable","wt_field","category","survey_question","variable_logic","variable_label","value","value_label","value_logic"
"71","trip","boarding_station","trip_weight",NA,NA,NA,NA,NA,NA,NA
"72","trip","alighting_station","trip_weight",NA,NA,NA,NA,NA,NA,NA
"73","trip","depart_time_imputed","trip_weight",NA,NA,NA,NA,NA,NA,NA
"74","trip","mode_type_p_1","trip_weight",NA,NA,NA,NA,NA,NA,NA
"75","trip","mode_type_p_2","trip_weight",NA,NA,NA,NA,NA,NA,NA
"76","trip","mode_type_p_3","trip_weight",NA,NA,NA,NA,NA,NA,NA
"77","trip","mode_type_p_4","trip_weight",NA,NA,NA,NA,NA,NA,NA
"78","trip","predicted_mode_probability","trip_weight",NA,NA,NA,NA,NA,NA,NA
"79","trip","trip_o_in_mpo","trip_weight",NA,NA,NA,NA,NA,NA,NA
"80","trip","trip_d_in_mpo","trip_weight",NA,NA,NA,NA,NA,NA,NA
"81","trip","trip_o_county","trip_weight",NA,NA,NA,NA,NA,NA,NA
"82","trip","trip_d_county","trip_weight",NA,NA,NA,NA,NA,NA,NA
"83","trip","trip_o_city","trip_weight",NA,NA,NA,NA,NA,NA,NA
"84","trip","trip_d_city","trip_weight",NA,NA,NA,NA,NA,NA,NA
"85","trip","trip_o_thrive_category","trip_weight",NA,NA,NA,NA,NA,NA,NA
"86","trip","trip_o_thrive_category_broad","trip_weight",NA,NA,NA,NA,NA,NA,NA
"87","trip","trip_o_urban_rural_suburban","trip_weight",NA,NA,NA,NA,NA,NA,NA
"88","trip","trip_d_thrive_category","trip_weight",NA,NA,NA,NA,NA,NA,NA
"89","trip","trip_d_thrive_category_broad","trip_weight",NA,NA,NA,NA,NA,NA,NA
"90","trip","trip_d_urban_rural_suburban","trip_weight",NA,NA,NA,NA,NA,NA,NA
"91","trip","mode_group","trip_weight",NA,NA,NA,NA,NA,NA,NA
"92","trip","d_purpose_category_broad","trip_weight",NA,NA,NA,NA,NA,NA,NA
"93","trip","o_purpose_category_broad","trip_weight",NA,NA,NA,NA,NA,NA,NA
"94","trip","trip_season","trip_weight",NA,NA,NA,NA,NA,NA,NA
"95","trip_purpose","purpose_category","trip_purpose_weight",NA,NA,NA,NA,NA,NA,NA
"96","trip_purpose","purpose","trip_purpose_weight",NA,NA,NA,NA,NA,NA,NA
"97",NA,"age",NA,"Demographics","Household person 1 provided the age (in years) of each household member.",NA,"Age","-9998","Missing: Non-response",NA
"98",NA,"age",NA,"Demographics","Household person 1 provided the age (in years) of each household member.",NA,"Age","1","Under 5",NA
"99",NA,"age",NA,"Demographics","Household person 1 provided the age (in years) of each household member.",NA,"Age","2","5-15",NA
"100",NA,"age",NA,"Demographics","Household person 1 provided the age (in years) of each household member.",NA,"Age","3","16-17",NA
"101",NA,"age",NA,"Demographics","Household person 1 provided the age (in years) of each household member.",NA,"Age","4","18-24",NA
"102",NA,"age",NA,"Demographics","Household person 1 provided the age (in years) of each household member.",NA,"Age","5","25-34",NA
"103",NA,"age",NA,"Demographics","Household person 1 provided the age (in years) of each household member.",NA,"Age","6","35-44",NA
"104",NA,"age",NA,"Demographics","Household person 1 provided the age (in years) of each household member.",NA,"Age","7","45-54",NA
"105",NA,"age",NA,"Demographics","Household person 1 provided the age (in years) of each household member.",NA,"Age","8","55-64",NA
"106",NA,"age",NA,"Demographics","Household person 1 provided the age (in years) of each household member.",NA,"Age","9","65-74",NA
"107",NA,"age",NA,"Demographics","Household person 1 provided the age (in years) of each household member.",NA,"Age","10","75 or older",NA
"108",NA,"av_future_travel",NA,"Attitudes toward autonomous vehicles","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","-9998","Missing: Non-response",NA
"109",NA,"av_future_travel",NA,"Attitudes toward autonomous vehicles","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","1","Travel more than now",NA
"110",NA,"av_future_travel",NA,"Attitudes toward autonomous vehicles","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","2","Travel the same amount",NA
"111",NA,"av_future_travel",NA,"Attitudes toward autonomous vehicles","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","3","Travel less than now",NA
"112",NA,"av_future_travel",NA,"Attitudes toward autonomous vehicles","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","995","Missing: Skip logic",NA
"113",NA,"av_future_travel",NA,"Attitudes toward autonomous vehicles","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","998","I don't know",NA
"114",NA,"av_own_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","-9998","Missing: Non-response",NA
"115",NA,"av_own_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","1","Very interested",NA
"116",NA,"av_own_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","2","Somewhat interested",NA
"117",NA,"av_own_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","3","Neutral",NA
"118",NA,"av_own_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","4","Somewhat uninterested",NA
"119",NA,"av_own_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","5","Not at all interested",NA
"120",NA,"av_own_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","995","Missing: Skip logic",NA
"121",NA,"av_own_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","998","I don't know",NA
"122",NA,"av_use_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","-9998","Missing: Non-response",NA
"123",NA,"av_use_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","1","Very interested",NA
"124",NA,"av_use_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","2","Somewhat interested",NA
"125",NA,"av_use_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","3","Neutral",NA
"126",NA,"av_use_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","4","Somewhat uninterested",NA
"127",NA,"av_use_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","5","Not at all interested",NA
"128",NA,"av_use_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","995","Missing: Skip logic",NA
"129",NA,"av_use_interest",NA,"Attitudes toward autonomous vehicles","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","998","I don't know",NA
"130",NA,"bike_freq",NA,"Shared mobility","How often do you use a bicycle?","If adult","How often uses a bicycle","-9998","Missing: Non-response",NA
"131",NA,"bike_freq",NA,"Shared mobility","How often do you use a bicycle?","If adult","How often uses a bicycle","1","6-7 days a week",NA
"132",NA,"bike_freq",NA,"Shared mobility","How often do you use a bicycle?","If adult","How often uses a bicycle","2","5 days a week",NA
"133",NA,"bike_freq",NA,"Shared mobility","How often do you use a bicycle?","If adult","How often uses a bicycle","3","4 days a week",NA
"134",NA,"bike_freq",NA,"Shared mobility","How often do you use a bicycle?","If adult","How often uses a bicycle","4","2-3 days a week",NA
"135",NA,"bike_freq",NA,"Shared mobility","How often do you use a bicycle?","If adult","How often uses a bicycle","5","1 day a week",NA
"136",NA,"bike_freq",NA,"Shared mobility","How often do you use a bicycle?","If adult","How often uses a bicycle","6","1-3 days a month",NA
"137",NA,"bike_freq",NA,"Shared mobility","How often do you use a bicycle?","If adult","How often uses a bicycle","7","Less than monthly",NA
"138",NA,"bike_freq",NA,"Shared mobility","How often do you use a bicycle?","If adult","How often uses a bicycle","8","Never",NA
"139",NA,"bike_freq",NA,"Shared mobility","How often do you use a bicycle?","If adult","How often uses a bicycle","995","Missing: Skip logic",NA
"140",NA,"disability",NA,"Demographics","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","-9998","Missing: Non-response",NA
"141",NA,"disability",NA,"Demographics","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","0","No",NA
"142",NA,"disability",NA,"Demographics","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","1","Yes",NA
"143",NA,"disability",NA,"Demographics","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","995","Missing: Skip logic",NA
"144",NA,"disability",NA,"Demographics","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","999","Prefer not to answer",NA
"145",NA,"drives_tnc",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","If adult and has license","Drives for Uber, Lyft, or other smartphone-app ride service","-9998","Missing: Non-response",NA
"146",NA,"drives_tnc",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","If adult and has license","Drives for Uber, Lyft, or other smartphone-app ride service","0","No",NA
"147",NA,"drives_tnc",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","If adult and has license","Drives for Uber, Lyft, or other smartphone-app ride service","1","Yes",NA
"148",NA,"drives_tnc",NA,"Shared mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","If adult and has license","Drives for Uber, Lyft, or other smartphone-app ride service","995","Missing: Skip logic",NA
"149",NA,"education",NA,"Demographics","What is the highest level of education you have completed?",NA,"Highest level of education completed","-9998","Missing: Non-response",NA
"150",NA,"education",NA,"Demographics","What is the highest level of education you have completed?",NA,"Highest level of education completed","1","Less than high school",NA
"151",NA,"education",NA,"Demographics","What is the highest level of education you have completed?",NA,"Highest level of education completed","2","High school graduate/GED",NA
"152",NA,"education",NA,"Demographics","What is the highest level of education you have completed?",NA,"Highest level of education completed","3","Some college",NA
"153",NA,"education",NA,"Demographics","What is the highest level of education you have completed?",NA,"Highest level of education completed","4","Vocational/technical training",NA
"154",NA,"education",NA,"Demographics","What is the highest level of education you have completed?",NA,"Highest level of education completed","5","Associate degree",NA
"155",NA,"education",NA,"Demographics","What is the highest level of education you have completed?",NA,"Highest level of education completed","6","Bachelor's degree",NA
"156",NA,"education",NA,"Demographics","What is the highest level of education you have completed?",NA,"Highest level of education completed","7","Graduate/post-graduate degree",NA
"157",NA,"education",NA,"Demographics","What is the highest level of education you have completed?",NA,"Highest level of education completed","995","Missing: Skip logic",NA
"158",NA,"education",NA,"Demographics","What is the highest level of education you have completed?",NA,"Highest level of education completed","999","Prefer not to answer",NA
"159",NA,"employment_status",NA,"Demographics","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","-9998","Missing: Non-response",NA
"160",NA,"employment_status",NA,"Demographics","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","1","Full-time ",NA
"161",NA,"employment_status",NA,"Demographics","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","2","Part-time",NA
"162",NA,"employment_status",NA,"Demographics","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","3","Self-employed",NA
"163",NA,"employment_status",NA,"Demographics","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","6","Not employed",NA
"164",NA,"employment_status",NA,"Demographics","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","7","Unpaid volunteer or intern",NA
"165",NA,"employment_status",NA,"Demographics","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","995","Missing: Skip logic",NA
"166",NA,"ethnicity_afam",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","-9998","Missing: Non-response",NA
"167",NA,"ethnicity_afam",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","0","No",NA
"168",NA,"ethnicity_afam",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","1","Yes",NA
"169",NA,"ethnicity_afam",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","995","Missing: Skip logic",NA
"170",NA,"ethnicity_afam",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","999","Prefer not to answer",NA
"171",NA,"ethnicity_aiak",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","-9998","Missing: Non-response",NA
"172",NA,"ethnicity_aiak",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","0","No",NA
"173",NA,"ethnicity_aiak",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","1","Yes",NA
"174",NA,"ethnicity_aiak",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","995","Missing: Skip logic",NA
"175",NA,"ethnicity_aiak",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","999","Prefer not to answer",NA
"176",NA,"ethnicity_asian",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","-9998","Missing: Non-response",NA
"177",NA,"ethnicity_asian",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","0","No",NA
"178",NA,"ethnicity_asian",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","1","Yes",NA
"179",NA,"ethnicity_asian",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","995","Missing: Skip logic",NA
"180",NA,"ethnicity_asian",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","999","Prefer not to answer",NA
"181",NA,"ethnicity_hapi",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","-9998","Missing: Non-response",NA
"182",NA,"ethnicity_hapi",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","0","No",NA
"183",NA,"ethnicity_hapi",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","1","Yes",NA
"184",NA,"ethnicity_hapi",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","995","Missing: Skip logic",NA
"185",NA,"ethnicity_hapi",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","999","Prefer not to answer",NA
"186",NA,"ethnicity_hisp",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","-9998","Missing: Non-response",NA
"187",NA,"ethnicity_hisp",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","0","No",NA
"188",NA,"ethnicity_hisp",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","1","Yes",NA
"189",NA,"ethnicity_hisp",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","995","Missing: Skip logic",NA
"190",NA,"ethnicity_hisp",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","999","Prefer not to answer",NA
"191",NA,"ethnicity_mideast",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","-9998","Missing: Non-response",NA
"192",NA,"ethnicity_mideast",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","0","No",NA
"193",NA,"ethnicity_mideast",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","1","Yes",NA
"194",NA,"ethnicity_mideast",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","995","Missing: Skip logic",NA
"195",NA,"ethnicity_mideast",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","999","Prefer not to answer",NA
"196",NA,"ethnicity_other",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","-9998","Missing: Non-response",NA
"197",NA,"ethnicity_other",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","0","No",NA
"198",NA,"ethnicity_other",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","1","Yes",NA
"199",NA,"ethnicity_other",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","995","Missing: Skip logic",NA
"200",NA,"ethnicity_other",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","999","Prefer not to answer",NA
"201",NA,"ethnicity_white",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","-9998","Missing: Non-response",NA
"202",NA,"ethnicity_white",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","0","No",NA
"203",NA,"ethnicity_white",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","1","Yes",NA
"204",NA,"ethnicity_white",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","995","Missing: Skip logic",NA
"205",NA,"ethnicity_white",NA,"Demographics","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","999","Prefer not to answer",NA
"206",NA,"gender",NA,"Demographics","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","-9998","Missing: Non-response",NA
