"","category","variable","survey_question","variable_logic","variable_label","value","value_label","value_logic","which_table","wt_field"
"15","Attitudes toward autonomous vehicles","av_future_travel","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","3","Travel less than now",NA,"per","person_weight"
"16","Attitudes toward autonomous vehicles","av_future_travel","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","995","Missing: Skip logic",NA,"per","person_weight"
"17","Attitudes toward autonomous vehicles","av_future_travel","In the future when autonomous vehicles are used, how often do you think you would travel?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Predicted frequency of travel in the future when autonomous vehicles are used","998","I don't know",NA,"per","person_weight"
"18","Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","-9998","Missing: Non-response",NA,"per","person_weight"
"19","Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","1","Very interested",NA,"per","person_weight"
"20","Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","2","Somewhat interested",NA,"per","person_weight"
"21","Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","3","Neutral",NA,"per","person_weight"
"22","Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","4","Somewhat uninterested",NA,"per","person_weight"
"23","Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","5","Not at all interested",NA,"per","person_weight"
"24","Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","995","Missing: Skip logic",NA,"per","person_weight"
"25","Attitudes toward autonomous vehicles","av_own_interest","How interested are you in OWNING an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in owning autonomous vehicles in the future","998","I don't know",NA,"per","person_weight"
"26","Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","-9998","Missing: Non-response",NA,"per","person_weight"
"27","Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","1","Very interested",NA,"per","person_weight"
"28","Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","2","Somewhat interested",NA,"per","person_weight"
"29","Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","3","Neutral",NA,"per","person_weight"
"30","Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","4","Somewhat uninterested",NA,"per","person_weight"
"31","Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","5","Not at all interested",NA,"per","person_weight"
"32","Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","995","Missing: Skip logic",NA,"per","person_weight"
"33","Attitudes toward autonomous vehicles","av_use_interest","How interested are you in using an autonomous vehicle in the future?","If household member 1 for participation groups 1 & 2. If adult in participation group 3.","Interest in using autonomous vehicles in the future","998","I don't know",NA,"per","person_weight"
"34","Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","-9998","Missing: Non-response",NA,"per","person_weight"
"35","Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","1","6-7 days a week",NA,"per","person_weight"
"36","Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","2","5 days a week",NA,"per","person_weight"
"37","Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","3","4 days a week",NA,"per","person_weight"
"38","Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","4","2-3 days a week",NA,"per","person_weight"
"39","Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","5","1 day a week",NA,"per","person_weight"
"40","Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","6","1-3 days a month",NA,"per","person_weight"
"41","Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","7","Less than monthly",NA,"per","person_weight"
"42","Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","8","Never",NA,"per","person_weight"
"43","Shared mobility","bike_freq","How often do you use a bicycle?","If adult","How often uses a bicycle","995","Missing: Skip logic",NA,"per","person_weight"
"44","Demographics","disability","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","-9998","Missing: Non-response",NA,"per","person_weight"
"45","Demographics","disability","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","0","No",NA,"per","person_weight"
"46","Demographics","disability","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","1","Yes",NA,"per","person_weight"
"47","Demographics","disability","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","995","Missing: Skip logic",NA,"per","person_weight"
"48","Demographics","disability","Do you have a disability or illness that affects your ability to travel in the region?","Adults only","Disability status","999","Prefer not to answer",NA,"per","person_weight"
"49","Shared mobility","drives_tnc","Which of the following [shared mobility services], if any, do you use? Select all that apply.","If adult and has license","Drives for Uber, Lyft, or other smartphone-app ride service","-9998","Missing: Non-response",NA,"per","person_weight"
"50","Shared mobility","drives_tnc","Which of the following [shared mobility services], if any, do you use? Select all that apply.","If adult and has license","Drives for Uber, Lyft, or other smartphone-app ride service","0","No",NA,"per","person_weight"
"51","Shared mobility","drives_tnc","Which of the following [shared mobility services], if any, do you use? Select all that apply.","If adult and has license","Drives for Uber, Lyft, or other smartphone-app ride service","1","Yes",NA,"per","person_weight"
"52","Shared mobility","drives_tnc","Which of the following [shared mobility services], if any, do you use? Select all that apply.","If adult and has license","Drives for Uber, Lyft, or other smartphone-app ride service","995","Missing: Skip logic",NA,"per","person_weight"
"53","Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","-9998","Missing: Non-response",NA,"per","person_weight"
"54","Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","1","Less than high school",NA,"per","person_weight"
"55","Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","2","High school graduate/GED",NA,"per","person_weight"
"56","Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","3","Some college",NA,"per","person_weight"
"57","Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","4","Vocational/technical training",NA,"per","person_weight"
"58","Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","5","Associate degree",NA,"per","person_weight"
"59","Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","6","Bachelor's degree",NA,"per","person_weight"
"60","Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","7","Graduate/post-graduate degree",NA,"per","person_weight"
"61","Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","995","Missing: Skip logic",NA,"per","person_weight"
"62","Demographics","education","What is the highest level of education you have completed?",NA,"Highest level of education completed","999","Prefer not to answer",NA,"per","person_weight"
"63","Demographics","employment_status","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","-9998","Missing: Non-response",NA,"per","person_weight"
"64","Demographics","employment_status","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","1","Full-time ",NA,"per","person_weight"
"65","Demographics","employment_status","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","2","Part-time",NA,"per","person_weight"
"66","Demographics","employment_status","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","3","Self-employed",NA,"per","person_weight"
"67","Demographics","employment_status","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","6","Not employed",NA,"per","person_weight"
"68","Demographics","employment_status","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","7","Unpaid volunteer or intern",NA,"per","person_weight"
"69","Demographics","employment_status","What is each person’s employment status?","Age 16+. Asked of adult members in participation group 3.","Employment status ","995","Missing: Skip logic",NA,"per","person_weight"
"70","Demographics","ethnicity_afam","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","-9998","Missing: Non-response",NA,"per","person_weight"
"71","Demographics","ethnicity_afam","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","0","No",NA,"per","person_weight"
"72","Demographics","ethnicity_afam","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","1","Yes",NA,"per","person_weight"
"73","Demographics","ethnicity_afam","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","995","Missing: Skip logic",NA,"per","person_weight"
"74","Demographics","ethnicity_afam","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Black or African American","999","Prefer not to answer",NA,"per","person_weight"
"75","Demographics","ethnicity_aiak","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","-9998","Missing: Non-response",NA,"per","person_weight"
"76","Demographics","ethnicity_aiak","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","0","No",NA,"per","person_weight"
"77","Demographics","ethnicity_aiak","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","1","Yes",NA,"per","person_weight"
"78","Demographics","ethnicity_aiak","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","995","Missing: Skip logic",NA,"per","person_weight"
"79","Demographics","ethnicity_aiak","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: American Indian or Alaska Native","999","Prefer not to answer",NA,"per","person_weight"
"80","Demographics","ethnicity_asian","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","-9998","Missing: Non-response",NA,"per","person_weight"
"81","Demographics","ethnicity_asian","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","0","No",NA,"per","person_weight"
"82","Demographics","ethnicity_asian","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","1","Yes",NA,"per","person_weight"
"83","Demographics","ethnicity_asian","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","995","Missing: Skip logic",NA,"per","person_weight"
"84","Demographics","ethnicity_asian","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Asian","999","Prefer not to answer",NA,"per","person_weight"
"85","Demographics","ethnicity_hapi","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","-9998","Missing: Non-response",NA,"per","person_weight"
"86","Demographics","ethnicity_hapi","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","0","No",NA,"per","person_weight"
"87","Demographics","ethnicity_hapi","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","1","Yes",NA,"per","person_weight"
"88","Demographics","ethnicity_hapi","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","995","Missing: Skip logic",NA,"per","person_weight"
"89","Demographics","ethnicity_hapi","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Native Hawaiian or other Pacific Islander","999","Prefer not to answer",NA,"per","person_weight"
"90","Demographics","ethnicity_hisp","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","-9998","Missing: Non-response",NA,"per","person_weight"
"91","Demographics","ethnicity_hisp","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","0","No",NA,"per","person_weight"
"92","Demographics","ethnicity_hisp","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","1","Yes",NA,"per","person_weight"
"93","Demographics","ethnicity_hisp","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","995","Missing: Skip logic",NA,"per","person_weight"
"94","Demographics","ethnicity_hisp","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Hispanic, Latino, or Spanish origin","999","Prefer not to answer",NA,"per","person_weight"
"95","Demographics","ethnicity_mideast","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","-9998","Missing: Non-response",NA,"per","person_weight"
"96","Demographics","ethnicity_mideast","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","0","No",NA,"per","person_weight"
"97","Demographics","ethnicity_mideast","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","1","Yes",NA,"per","person_weight"
"98","Demographics","ethnicity_mideast","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","995","Missing: Skip logic",NA,"per","person_weight"
"99","Demographics","ethnicity_mideast","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Middle Eastern or North African","999","Prefer not to answer",NA,"per","person_weight"
"100","Demographics","ethnicity_other","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","-9998","Missing: Non-response",NA,"per","person_weight"
"101","Demographics","ethnicity_other","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","0","No",NA,"per","person_weight"
"102","Demographics","ethnicity_other","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","1","Yes",NA,"per","person_weight"
"103","Demographics","ethnicity_other","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","995","Missing: Skip logic",NA,"per","person_weight"
"104","Demographics","ethnicity_other","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: Other race, ethnicity, or origin","999","Prefer not to answer",NA,"per","person_weight"
"105","Demographics","ethnicity_white","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","-9998","Missing: Non-response",NA,"per","person_weight"
"106","Demographics","ethnicity_white","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","0","No",NA,"per","person_weight"
"107","Demographics","ethnicity_white","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","1","Yes",NA,"per","person_weight"
"108","Demographics","ethnicity_white","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","995","Missing: Skip logic",NA,"per","person_weight"
"109","Demographics","ethnicity_white","Which categories best describe you? Select all that apply.","Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.","Race/Ethnicity: White","999","Prefer not to answer",NA,"per","person_weight"
"110","Demographics","gender","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","-9998","Missing: Non-response",NA,"per","person_weight"
"111","Demographics","gender","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","1","Female",NA,"per","person_weight"
"112","Demographics","gender","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","2","Male",NA,"per","person_weight"
"113","Demographics","gender","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","3","Transgender",NA,"per","person_weight"
"114","Demographics","gender","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","4","Non-binary/third gender",NA,"per","person_weight"
"115","Demographics","gender","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","997","Other/Prefer to self-describe",NA,"per","person_weight"
"116","Demographics","gender","Household person 1 provided the gender identity of each person in the household.",NA,"Gender","999","Prefer not to answer",NA,"per","person_weight"
"117","Demographics","job_type","What is your work location like?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Usual work location","-9998","Missing: Non-response",NA,"per","person_weight"
"118","Demographics","job_type","What is your work location like?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Usual work location","1","Only one work location (outside of home, may also telework)",NA,"per","person_weight"
"119","Demographics","job_type","What is your work location like?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Usual work location","2","Work location regularly varies (different offices/jobsites)",NA,"per","person_weight"
"120","Demographics","job_type","What is your work location like?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Usual work location","3","Work at home ONLY (telework, self-employed)",NA,"per","person_weight"
"121","Demographics","job_type","What is your work location like?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Usual work location","4","Drive/travel for work (driver, sales)",NA,"per","person_weight"
"122","Demographics","job_type","What is your work location like?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Usual work location","995","Missing: Skip logic",NA,"per","person_weight"
"123","Demographics","license","Do you have a driver's license or learner's permit?","Age 16+ in groups 1 & 2, adults in group 3","Has a valid driver's license or permit","-9998","Missing: Non-response",NA,"per","person_weight"
"124","Demographics","license","Do you have a driver's license or learner's permit?","Age 16+ in groups 1 & 2, adults in group 3","Has a valid driver's license or permit","0","No",NA,"per","person_weight"
"125","Demographics","license","Do you have a driver's license or learner's permit?","Age 16+ in groups 1 & 2, adults in group 3","Has a valid driver's license or permit","1","Yes (license or learner's permit)",NA,"per","person_weight"
"126","Demographics","license","Do you have a driver's license or learner's permit?","Age 16+ in groups 1 & 2, adults in group 3","Has a valid driver's license or permit","995","Missing: Skip logic",NA,"per","person_weight"
"127","Shared mobility","no_shared_mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses none of the above share services","-9998","Missing: Non-response",NA,"per","person_weight"
"128","Shared mobility","no_shared_mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses none of the above share services","0","No",NA,"per","person_weight"
"129","Shared mobility","no_shared_mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses none of the above share services","1","Yes",NA,"per","person_weight"
"130","Shared mobility","no_shared_mobility","Which of the following [shared mobility services], if any, do you use? Select all that apply.","if adult","Uses none of the above share services","995","Missing: Skip logic",NA,"per","person_weight"
"131","Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","-9999","Missing: Error",NA,"per","person_weight"
"132","Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","-9998","Missing: Non-response",NA,"per","person_weight"
"133","Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","1","1",NA,"per","person_weight"
"134","Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","2","2",NA,"per","person_weight"
"135","Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","3","3",NA,"per","person_weight"
"136","Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","4","4",NA,"per","person_weight"
"137","Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","5","5",NA,"per","person_weight"
"138","Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","6","6 or more",NA,"per","person_weight"
"139","Demographics","num_jobs","How many jobs do you have?","If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.","Number of jobs","995","Missing: Skip logic",NA,"per","person_weight"
"140","Commute","school_bus","Is there school bus service available (for your child/ren)?","If under age 18 and not cared for at home or homeschooled","School bus available in district","-9998","Missing: Non-response",NA,"per","person_weight"
"141","Commute","school_bus","Is there school bus service available (for your child/ren)?","If under age 18 and not cared for at home or homeschooled","School bus available in district","0","No",NA,"per","person_weight"
"142","Commute","school_bus","Is there school bus service available (for your child/ren)?","If under age 18 and not cared for at home or homeschooled","School bus available in district","1","Yes",NA,"per","person_weight"
"143","Commute","school_bus","Is there school bus service available (for your child/ren)?","If under age 18 and not cared for at home or homeschooled","School bus available in district","995","Missing: Skip logic",NA,"per","person_weight"
"144","Commute","school_bus","Is there school bus service available (for your child/ren)?","If under age 18 and not cared for at home or homeschooled","School bus available in district","998","Don't know",NA,"per","person_weight"
"145","Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","-9998","Missing: Non-response",NA,"per","person_weight"
"146","Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","1","Walk, jog, or roll using a mobility device)",NA,"per","person_weight"
"147","Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","2","Bicycle",NA,"per","person_weight"
"148","Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","3","Drive alone","If has license","per","person_weight"
"149","Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","4","Carpool with only family/household member(s)","If household has more than one member","per","person_weight"
"150","Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","5","Carpool with at least one person not in household",NA,"per","person_weight"
"151","Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","6","Motorcycle/moped/scooter",NA,"per","person_weight"
"152","Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","7","Bus (public transit)",NA,"per","person_weight"
"153","Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","8","Private shuttle bus",NA,"per","person_weight"
"154","Commute","school_mode","[Derived from trip survey responses.]","If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.","Typical travel mode to school","9","Paratransit",NA,"per","person_weight"
