which_table,category,variable,survey_question,variable_logic,variable_label,value,value_label,value_logic,wt_field
per,Demographics,ethnicity_aiak,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: American Indian or Alaska Native,1,Yes,NA,person_weight
per,Demographics,ethnicity_aiak,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: American Indian or Alaska Native,995,Missing: Skip logic,NA,person_weight
per,Demographics,ethnicity_aiak,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: American Indian or Alaska Native,999,Prefer not to answer,NA,person_weight
per,Demographics,ethnicity_asian,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Asian,-9998,Missing: Non-response,NA,person_weight
per,Demographics,ethnicity_asian,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Asian,0,No,NA,person_weight
per,Demographics,ethnicity_asian,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Asian,1,Yes,NA,person_weight
per,Demographics,ethnicity_asian,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Asian,995,Missing: Skip logic,NA,person_weight
per,Demographics,ethnicity_asian,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Asian,999,Prefer not to answer,NA,person_weight
per,Demographics,ethnicity_hapi,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Native Hawaiian or other Pacific Islander,-9998,Missing: Non-response,NA,person_weight
per,Demographics,ethnicity_hapi,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Native Hawaiian or other Pacific Islander,0,No,NA,person_weight
per,Demographics,ethnicity_hapi,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Native Hawaiian or other Pacific Islander,1,Yes,NA,person_weight
per,Demographics,ethnicity_hapi,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Native Hawaiian or other Pacific Islander,995,Missing: Skip logic,NA,person_weight
per,Demographics,ethnicity_hapi,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Native Hawaiian or other Pacific Islander,999,Prefer not to answer,NA,person_weight
per,Demographics,ethnicity_hisp,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,"Race/Ethnicity: Hispanic, Latino, or Spanish origin",-9998,Missing: Non-response,NA,person_weight
per,Demographics,ethnicity_hisp,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,"Race/Ethnicity: Hispanic, Latino, or Spanish origin",0,No,NA,person_weight
per,Demographics,ethnicity_hisp,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,"Race/Ethnicity: Hispanic, Latino, or Spanish origin",1,Yes,NA,person_weight
per,Demographics,ethnicity_hisp,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,"Race/Ethnicity: Hispanic, Latino, or Spanish origin",995,Missing: Skip logic,NA,person_weight
per,Demographics,ethnicity_hisp,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,"Race/Ethnicity: Hispanic, Latino, or Spanish origin",999,Prefer not to answer,NA,person_weight
per,Demographics,ethnicity_mideast,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Middle Eastern or North African,-9998,Missing: Non-response,NA,person_weight
per,Demographics,ethnicity_mideast,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Middle Eastern or North African,0,No,NA,person_weight
per,Demographics,ethnicity_mideast,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Middle Eastern or North African,1,Yes,NA,person_weight
per,Demographics,ethnicity_mideast,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Middle Eastern or North African,995,Missing: Skip logic,NA,person_weight
per,Demographics,ethnicity_mideast,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: Middle Eastern or North African,999,Prefer not to answer,NA,person_weight
per,Demographics,ethnicity_other,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,"Race/Ethnicity: Other race, ethnicity, or origin",-9998,Missing: Non-response,NA,person_weight
per,Demographics,ethnicity_other,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,"Race/Ethnicity: Other race, ethnicity, or origin",0,No,NA,person_weight
per,Demographics,ethnicity_other,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,"Race/Ethnicity: Other race, ethnicity, or origin",1,Yes,NA,person_weight
per,Demographics,ethnicity_other,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,"Race/Ethnicity: Other race, ethnicity, or origin",995,Missing: Skip logic,NA,person_weight
per,Demographics,ethnicity_other,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,"Race/Ethnicity: Other race, ethnicity, or origin",999,Prefer not to answer,NA,person_weight
per,Demographics,ethnicity_white,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: White,-9998,Missing: Non-response,NA,person_weight
per,Demographics,ethnicity_white,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: White,0,No,NA,person_weight
per,Demographics,ethnicity_white,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: White,1,Yes,NA,person_weight
per,Demographics,ethnicity_white,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: White,995,Missing: Skip logic,NA,person_weight
per,Demographics,ethnicity_white,Which categories best describe you? Select all that apply.,Asked of all household members in participation group 1 and 2. Asked of adults only in participation group 3.,Race/Ethnicity: White,999,Prefer not to answer,NA,person_weight
per,Demographics,gender,Household person 1 provided the gender identity of each person in the household.,NA,Gender,-9998,Missing: Non-response,NA,person_weight
per,Demographics,gender,Household person 1 provided the gender identity of each person in the household.,NA,Gender,1,Female,NA,person_weight
per,Demographics,gender,Household person 1 provided the gender identity of each person in the household.,NA,Gender,2,Male,NA,person_weight
per,Demographics,gender,Household person 1 provided the gender identity of each person in the household.,NA,Gender,3,Transgender,NA,person_weight
per,Demographics,gender,Household person 1 provided the gender identity of each person in the household.,NA,Gender,4,Non-binary/third gender,NA,person_weight
per,Demographics,gender,Household person 1 provided the gender identity of each person in the household.,NA,Gender,997,Other/Prefer to self-describe,NA,person_weight
per,Demographics,gender,Household person 1 provided the gender identity of each person in the household.,NA,Gender,999,Prefer not to answer,NA,person_weight
per,Demographics,job_type,What is your work location like?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Usual work location,-9998,Missing: Non-response,NA,person_weight
per,Demographics,job_type,What is your work location like?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Usual work location,1,"Only one work location (outside of home, may also telework)",NA,person_weight
per,Demographics,job_type,What is your work location like?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Usual work location,2,Work location regularly varies (different offices/jobsites),NA,person_weight
per,Demographics,job_type,What is your work location like?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Usual work location,3,"Work at home ONLY (telework, self-employed)",NA,person_weight
per,Demographics,job_type,What is your work location like?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Usual work location,4,"Drive/travel for work (driver, sales)",NA,person_weight
per,Demographics,job_type,What is your work location like?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Usual work location,995,Missing: Skip logic,NA,person_weight
per,Demographics,license,Do you have a driver's license or learner's permit?,"Age 16+ in groups 1 & 2, adults in group 3",Has a valid driver's license or permit,-9998,Missing: Non-response,NA,person_weight
per,Demographics,license,Do you have a driver's license or learner's permit?,"Age 16+ in groups 1 & 2, adults in group 3",Has a valid driver's license or permit,0,No,NA,person_weight
per,Demographics,license,Do you have a driver's license or learner's permit?,"Age 16+ in groups 1 & 2, adults in group 3",Has a valid driver's license or permit,1,Yes (license or learner's permit),NA,person_weight
per,Demographics,license,Do you have a driver's license or learner's permit?,"Age 16+ in groups 1 & 2, adults in group 3",Has a valid driver's license or permit,995,Missing: Skip logic,NA,person_weight
per,Shared mobility,no_shared_mobility,"Which of the following [shared mobility services], if any, do you use? Select all that apply.",if adult,Uses none of the above share services,-9998,Missing: Non-response,NA,person_weight
per,Shared mobility,no_shared_mobility,"Which of the following [shared mobility services], if any, do you use? Select all that apply.",if adult,Uses none of the above share services,0,No,NA,person_weight
per,Shared mobility,no_shared_mobility,"Which of the following [shared mobility services], if any, do you use? Select all that apply.",if adult,Uses none of the above share services,1,Yes,NA,person_weight
per,Shared mobility,no_shared_mobility,"Which of the following [shared mobility services], if any, do you use? Select all that apply.",if adult,Uses none of the above share services,995,Missing: Skip logic,NA,person_weight
per,Demographics,num_jobs,How many jobs do you have?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Number of jobs,-9999,Missing: Error,NA,person_weight
per,Demographics,num_jobs,How many jobs do you have?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Number of jobs,-9998,Missing: Non-response,NA,person_weight
per,Demographics,num_jobs,How many jobs do you have?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Number of jobs,1,1,NA,person_weight
per,Demographics,num_jobs,How many jobs do you have?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Number of jobs,2,2,NA,person_weight
per,Demographics,num_jobs,How many jobs do you have?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Number of jobs,3,3,NA,person_weight
per,Demographics,num_jobs,How many jobs do you have?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Number of jobs,4,4,NA,person_weight
per,Demographics,num_jobs,How many jobs do you have?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Number of jobs,5,5,NA,person_weight
per,Demographics,num_jobs,How many jobs do you have?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Number of jobs,6,6 or more,NA,person_weight
per,Demographics,num_jobs,How many jobs do you have?,"If employed full-time, part-time, self-employed or volunteer/intern. Asked of adults only in participation group 3.",Number of jobs,995,Missing: Skip logic,NA,person_weight
per,Commute,school_bus,Is there school bus service available (for your child/ren)?,If under age 18 and not cared for at home or homeschooled,School bus available in district,-9998,Missing: Non-response,NA,person_weight
per,Commute,school_bus,Is there school bus service available (for your child/ren)?,If under age 18 and not cared for at home or homeschooled,School bus available in district,0,No,NA,person_weight
per,Commute,school_bus,Is there school bus service available (for your child/ren)?,If under age 18 and not cared for at home or homeschooled,School bus available in district,1,Yes,NA,person_weight
per,Commute,school_bus,Is there school bus service available (for your child/ren)?,If under age 18 and not cared for at home or homeschooled,School bus available in district,995,Missing: Skip logic,NA,person_weight
per,Commute,school_bus,Is there school bus service available (for your child/ren)?,If under age 18 and not cared for at home or homeschooled,School bus available in district,998,Don't know,NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,-9998,Missing: Non-response,NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,1,"Walk, jog, or roll using a mobility device)",NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,2,Bicycle,NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,3,Drive alone,If has license,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,4,Carpool with only family/household member(s),If household has more than one member,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,5,Carpool with at least one person not in household,NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,6,Motorcycle/moped/scooter,NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,7,Bus (public transit),NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,8,Private shuttle bus,NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,9,Paratransit,NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,10,Vanpool,NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,11,"Taxi (e.g., Yellow Cab)",NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,12,"Uber, Lyft, or other smartphone-app ride service",NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,13,Subway,NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,14,Light rail,NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,15,"Intercity rail (e.g., Amtrak)",NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,16,School bus,NA,person_weight
per,Commute,school_mode,[Derived from trip survey responses.],"If student and not cared for at home, homeschooled, or attends online classes only. Derived for participation group 3.",Typical travel mode to school,995,Missing: Skip logic,NA,person_weight
