which_table,category,variable,variable_label,survey_question,variable_logic,value,value_label,wt_field
day,,delivery_food,Travel day delivery --  Take-out/prepared food delivered to home,,If adult,1,Selected,day_weight
day,,delivery_food,Travel day delivery --  Take-out/prepared food delivered to home,,If adult,995,Missing,day_weight
day,,delivery_grocery,Travel day delivery -- Groceries delivered to home,,If adult,0,Not selected,day_weight
day,,delivery_grocery,Travel day delivery -- Groceries delivered to home,,If adult,1,Selected,day_weight
day,,delivery_grocery,Travel day delivery -- Groceries delivered to home,,If adult,995,Missing,day_weight
day,,delivery_home,"Travel day delivery -- Received packages at home (e.g., FedEx, UPS, USPS)",,If adult,0,Not selected,day_weight
day,,delivery_home,"Travel day delivery -- Received packages at home (e.g., FedEx, UPS, USPS)",,If adult,1,Selected,day_weight
day,,delivery_home,"Travel day delivery -- Received packages at home (e.g., FedEx, UPS, USPS)",,If adult,995,Missing,day_weight
day,,delivery_locker,"Travel day delivery -- Received packages at another location (e.g., Amazon locker, package pick-up point)",,If adult,0,Not selected,day_weight
day,,delivery_locker,"Travel day delivery -- Received packages at another location (e.g., Amazon locker, package pick-up point)",,If adult,1,Selected,day_weight
day,,delivery_locker,"Travel day delivery -- Received packages at another location (e.g., Amazon locker, package pick-up point)",,If adult,995,Missing,day_weight
day,,delivery_none,Travel day delivery -- None,,If adult,0,Not selected,day_weight
day,,delivery_none,Travel day delivery -- None,,If adult,1,Selected,day_weight
day,,delivery_none,Travel day delivery -- None,,If adult,995,Missing,day_weight
day,,delivery_other,"Travel day delivery -- Other item delivered to home (e.g., appliance",,If adult,0,Not selected,day_weight
day,,delivery_other,"Travel day delivery -- Other item delivered to home (e.g., appliance",,If adult,1,Selected,day_weight
day,,delivery_other,"Travel day delivery -- Other item delivered to home (e.g., appliance",,If adult,995,Missing,day_weight
day,,delivery_service,"Travel day delivery -- Someone came to do work at home (e.g., babysitter, housecleaning, lawn)",,If adult,0,Not selected,day_weight
day,,delivery_service,"Travel day delivery -- Someone came to do work at home (e.g., babysitter, housecleaning, lawn)",,If adult,1,Selected,day_weight
day,,delivery_service,"Travel day delivery -- Someone came to do work at home (e.g., babysitter, housecleaning, lawn)",,If adult,995,Missing,day_weight
day,,delivery_work,Travel day delivery -- Received personal packages at work,,If adult,0,Not selected,day_weight
day,,delivery_work,Travel day delivery -- Received personal packages at work,,If adult,1,Selected,day_weight
day,,delivery_work,Travel day delivery -- Received personal packages at work,,If adult,995,Missing,day_weight
day,,end_day,Location at end of day,,If rMove,1,Home,day_weight
day,,end_day,Location at end of day,,If rMove,2,"Someone else's home (e.g., friend)",day_weight
day,,end_day,Location at end of day,,If rMove,3,Work,day_weight
day,,end_day,Location at end of day,,If rMove,4,"Their other home (e.g., other parent, partner, second home)",day_weight
day,,end_day,Location at end of day,,If rMove,5,"Traveling (e.g., red-eye flight)",day_weight
day,,end_day,Location at end of day,,If rMove,7,"Temporary lodging (e.g., hotel, vacation rental)",day_weight
day,,end_day,Location at end of day,,If rMove,995,Missing,day_weight
day,,end_day,Location at end of day,,If rMove,997,Other,day_weight
day,,ev_charge,Electric vehicle was charged on travel day,,If household owns electric vehicle; if rMove or (web survey and person 1),1,Yes,day_weight
day,,ev_charge,Electric vehicle was charged on travel day,,If household owns electric vehicle; if rMove or (web survey and person 1),2,No,day_weight
day,,ev_charge,Electric vehicle was charged on travel day,,If household owns electric vehicle; if rMove or (web survey and person 1),995,Missing,day_weight
day,,ev_charge,Electric vehicle was charged on travel day,,If household owns electric vehicle; if rMove or (web survey and person 1),998,Don't know,day_weight
day,,ev_charge_duration,Length of time electric vehicle was charged at home on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),1,Under 4 hours,day_weight
day,,ev_charge_duration,Length of time electric vehicle was charged at home on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),2,4-6 hours,day_weight
day,,ev_charge_duration,Length of time electric vehicle was charged at home on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),3,More than 6 hours,day_weight
day,,ev_charge_duration,Length of time electric vehicle was charged at home on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),995,Missing,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),1,12:00 AM - 12:59 AM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),2,1:00 AM - 1:59 AM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),3,2:00 AM - 2:59 AM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),4,3:00 AM - 3:59 AM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),5,4:00 AM - 4:59 AM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),6,5:00 AM - 5:59 AM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),7,6:00 AM - 6:59 AM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),8,7:00 AM - 7:59 AM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),9,8:00 AM - 8:59 AM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),10,9:00 AM - 9:59 AM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),11,10:00 AM - 10:59 AM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),12,11:00 AM - 11:59 AM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),13,12:00 PM - 12:59 PM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),14,1:00 PM - 1:59 PM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),15,2:00 PM - 2:59 PM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),16,3:00 PM - 3:59 PM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),17,4:00 PM - 4:59 PM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),18,5:00 PM - 5:59 PM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),19,6:00 PM - 6:59 PM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),20,7:00 PM - 7:59 PM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),21,8:00 PM - 8:59 PM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),22,9:00 PM - 9:59 PM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),23,10:00 PM - 10:59 PM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),24,11:00 PM - 11:59 PM,day_weight
day,,ev_charge_time,Time that electric vehicle was plugged in on travel day,,If charged electric vehicle; if rMove or (rMove for Web and person 1),995,Missing,day_weight
day,,hh_id,NA,,NA,NA,NA,day_weight
day,,made_travel,Participant made travel on travel day,,NA,1,"Yes, made trips this day",day_weight
day,,made_travel,Participant made travel on travel day,,NA,2,"No, did not go anywhere or make trips this day",day_weight
day,,made_travel,Participant made travel on travel day,,NA,995,Missing,day_weight
day,,made_travel,Participant made travel on travel day,,NA,998,Don't know,day_weight
day,,made_travel,Participant made travel on travel day,,NA,999,Prefer not to answer,day_weight
day,,no_travel_adult_traveled,Reason for no travel on travel day -- Adult did make trips,,NA,0,Not selected,day_weight
day,,no_travel_adult_traveled,Reason for no travel on travel day -- Adult did make trips,,NA,1,Selected,day_weight
day,,no_travel_adult_traveled,Reason for no travel on travel day -- Adult did make trips,,NA,995,Missing,day_weight
day,,no_travel_delivery,"Reason for no travel on travel day -- Waited for a visitor or delivery (e.g., plumber)",,If made no trips,0,Not selected,day_weight
day,,no_travel_delivery,"Reason for no travel on travel day -- Waited for a visitor or delivery (e.g., plumber)",,If made no trips,1,Selected,day_weight
day,,no_travel_delivery,"Reason for no travel on travel day -- Waited for a visitor or delivery (e.g., plumber)",,If made no trips,995,Missing,day_weight
day,,no_travel_home_school,Reason for no travel on travel day -- Kids were home-schooled,,If made no trips,0,Not selected,day_weight
day,,no_travel_home_school,Reason for no travel on travel day -- Kids were home-schooled,,If made no trips,1,Selected,day_weight
day,,no_travel_home_school,Reason for no travel on travel day -- Kids were home-schooled,,If made no trips,995,Missing,day_weight
day,,no_travel_house_work,Reason for no travel on travel day -- Hung out or worked around home (not for pay),,If made no trips,0,Not selected,day_weight
day,,no_travel_house_work,Reason for no travel on travel day -- Hung out or worked around home (not for pay),,If made no trips,1,Selected,day_weight
day,,no_travel_house_work,Reason for no travel on travel day -- Hung out or worked around home (not for pay),,If made no trips,995,Missing,day_weight
day,,no_travel_kids_break,Reason for no travel on travel day -- Kids were on school vacation/break,,If made no trips,0,Not selected,day_weight
day,,no_travel_kids_break,Reason for no travel on travel day -- Kids were on school vacation/break,,If made no trips,1,Selected,day_weight
day,,no_travel_kids_break,Reason for no travel on travel day -- Kids were on school vacation/break,,If made no trips,995,Missing,day_weight
day,,no_travel_no_transport,"Reason for no travel on travel day -- No available transportation (e.g., no car, no bus)",,If made no trips,0,Not selected,day_weight
day,,no_travel_no_transport,"Reason for no travel on travel day -- No available transportation (e.g., no car, no bus)",,If made no trips,1,Selected,day_weight
day,,no_travel_no_transport,"Reason for no travel on travel day -- No available transportation (e.g., no car, no bus)",,If made no trips,995,Missing,day_weight
day,,no_travel_no_work,Reason for no travel on travel day -- Not scheduled to work/took day off,,If made no trips,0,Not selected,day_weight
day,,no_travel_no_work,Reason for no travel on travel day -- Not scheduled to work/took day off,,If made no trips,1,Selected,day_weight
day,,no_travel_no_work,Reason for no travel on travel day -- Not scheduled to work/took day off,,If made no trips,995,Missing,day_weight
day,,no_travel_other,Reason for no travel on travel day -- Other reason,,If made no trips,0,Not selected,day_weight
day,,no_travel_other,Reason for no travel on travel day -- Other reason,,If made no trips,1,Selected,day_weight
day,,no_travel_other,Reason for no travel on travel day -- Other reason,,If made no trips,995,Missing,day_weight
day,,no_travel_proxy_traveled,Reason for no travel on travel day -- Proxy did make trips,,NA,0,Not selected,day_weight
day,,no_travel_proxy_traveled,Reason for no travel on travel day -- Proxy did make trips,,NA,1,Selected,day_weight
day,,no_travel_proxy_traveled,Reason for no travel on travel day -- Proxy did make trips,,NA,995,Missing,day_weight
day,,no_travel_sick,Reason for no travel on travel day -- Was sick or was caring for another person,,If made no trips,0,Not selected,day_weight
day,,no_travel_sick,Reason for no travel on travel day -- Was sick or was caring for another person,,If made no trips,1,Selected,day_weight
day,,no_travel_sick,Reason for no travel on travel day -- Was sick or was caring for another person,,If made no trips,995,Missing,day_weight
day,,no_travel_telework,"Reason for no travel on travel day -- Worked at home for pay (e.g., telework, self-employed)",,If made no trips,0,Not selected,day_weight
day,,no_travel_telework,"Reason for no travel on travel day -- Worked at home for pay (e.g., telework, self-employed)",,If made no trips,1,Selected,day_weight
day,,no_travel_telework,"Reason for no travel on travel day -- Worked at home for pay (e.g., telework, self-employed)",,If made no trips,995,Missing,day_weight
day,,no_travel_weather,Reason for no travel on travel day -- Weather,,If made no trips,0,Not selected,day_weight
day,,no_travel_weather,Reason for no travel on travel day -- Weather,,If made no trips,1,Selected,day_weight
day,,no_travel_weather,Reason for no travel on travel day -- Weather,,If made no trips,995,Missing,day_weight
day,,num_trips,NA,,NA,NA,NA,day_weight
day,,person_id,NA,,NA,NA,NA,day_weight
day,,proxy_complete,Proxy survey completion status,,NA,0,Not complete,day_weight
day,,proxy_complete,Proxy survey completion status,,NA,1,Complete,day_weight
day,,proxy_complete,Proxy survey completion status,,NA,995,Missing,day_weight
day,,shop_online,Personally purchased anything online on travel day,,If adult,1,Yes,day_weight
day,,shop_online,Personally purchased anything online on travel day,,If adult,2,No,day_weight
day,,shop_online,Personally purchased anything online on travel day,,If adult,995,Missing,day_weight
day,,telework_time,NA,,NA,NA,NA,day_weight
day,,travel_date,NA,,NA,NA,NA,day_weight
day,,travel_date_season,NA,,NA,NA,NA,day_weight
hh,,bicycle_type_1,Bicycle types owned by person -- Standard bicycle,,If number of bicycles > 0,0,Not selected,hh_weight
hh,,bicycle_type_1,Bicycle types owned by person -- Standard bicycle,,If number of bicycles > 0,1,Selected,hh_weight
hh,,bicycle_type_1,Bicycle types owned by person -- Standard bicycle,,If number of bicycles > 0,995,Missing,hh_weight
hh,,bicycle_type_2,Bicycle types owned by person -- Electric bicycle,,If number of bicycles > 0,0,Not selected,hh_weight
hh,,bicycle_type_2,Bicycle types owned by person -- Electric bicycle,,If number of bicycles > 0,1,Selected,hh_weight
hh,,bicycle_type_2,Bicycle types owned by person -- Electric bicycle,,If number of bicycles > 0,995,Missing,hh_weight
hh,,bicycle_type_3,Bicycle types owned by person -- Other,,If number of bicycles > 0,0,Not selected,hh_weight
hh,,bicycle_type_3,Bicycle types owned by person -- Other,,If number of bicycles > 0,1,Selected,hh_weight
hh,,bicycle_type_3,Bicycle types owned by person -- Other,,If number of bicycles > 0,995,Missing,hh_weight
hh,,bike_store_1,"Bike storage place used by household -- Inside house/apartment (includes garage, porch, storage area)",,If household has at least one bike,0,Not selected,hh_weight
hh,,bike_store_1,"Bike storage place used by household -- Inside house/apartment (includes garage, porch, storage area)",,If household has at least one bike,1,Selected,hh_weight
hh,,bike_store_1,"Bike storage place used by household -- Inside house/apartment (includes garage, porch, storage area)",,If household has at least one bike,995,Missing,hh_weight
hh,,bike_store_2,Bike storage place used by household -- Bike rack,,If household has at least one bike,0,Not selected,hh_weight
hh,,bike_store_2,Bike storage place used by household -- Bike rack,,If household has at least one bike,1,Selected,hh_weight
hh,,bike_store_2,Bike storage place used by household -- Bike rack,,If household has at least one bike,995,Missing,hh_weight
hh,,bike_store_3,Bike storage place used by household -- Bike locker,,If household has at least one bike,0,Not selected,hh_weight
hh,,bike_store_3,Bike storage place used by household -- Bike locker,,If household has at least one bike,1,Selected,hh_weight
hh,,bike_store_3,Bike storage place used by household -- Bike locker,,If household has at least one bike,995,Missing,hh_weight
hh,,bike_store_4,Bike storage place used by household -- Secured bike room,,If household has at least one bike,0,Not selected,hh_weight
hh,,bike_store_4,Bike storage place used by household -- Secured bike room,,If household has at least one bike,1,Selected,hh_weight
hh,,bike_store_4,Bike storage place used by household -- Secured bike room,,If household has at least one bike,995,Missing,hh_weight
hh,,bike_store_5,"Bike storage place used by household -- Locked to other object (e.g., post, tree)",,If household has at least one bike,0,Not selected,hh_weight
hh,,bike_store_5,"Bike storage place used by household -- Locked to other object (e.g., post, tree)",,If household has at least one bike,1,Selected,hh_weight
hh,,bike_store_5,"Bike storage place used by household -- Locked to other object (e.g., post, tree)",,If household has at least one bike,995,Missing,hh_weight
hh,,bike_store_6,Bike storage place used by household -- In a parking garage/ramp/lot,,If household has at least one bike,0,Not selected,hh_weight
hh,,bike_store_6,Bike storage place used by household -- In a parking garage/ramp/lot,,If household has at least one bike,1,Selected,hh_weight
hh,,bike_store_6,Bike storage place used by household -- In a parking garage/ramp/lot,,If household has at least one bike,995,Missing,hh_weight
hh,,bike_store_7,Bike storage place used by household -- Unlocked on-street,,If household has at least one bike,0,Not selected,hh_weight
hh,,bike_store_7,Bike storage place used by household -- Unlocked on-street,,If household has at least one bike,1,Selected,hh_weight
hh,,bike_store_7,Bike storage place used by household -- Unlocked on-street,,If household has at least one bike,995,Missing,hh_weight
hh,,bike_store_997,Bike storage place used by household -- Other,,If household has at least one bike,0,Not selected,hh_weight
hh,,bike_store_997,Bike storage place used by household -- Other,,If household has at least one bike,1,Selected,hh_weight
hh,,bike_store_997,Bike storage place used by household -- Other,,If household has at least one bike,995,Missing,hh_weight
hh,,complete_fri,Household is complete -- on Friday of travel day,,NA,0,Not complete,hh_weight
hh,,complete_fri,Household is complete -- on Friday of travel day,,NA,1,Complete,hh_weight
hh,,complete_fri,Household is complete -- on Friday of travel day,,NA,995,Missing,hh_weight
hh,,complete_mon,Household is complete -- on Monday of travel day,,NA,0,Not complete,hh_weight
hh,,complete_mon,Household is complete -- on Monday of travel day,,NA,1,Complete,hh_weight
hh,,complete_mon,Household is complete -- on Monday of travel day,,NA,995,Missing,hh_weight
hh,,complete_sat,Household is complete -- on Saturday of travel day,,NA,0,Not complete,hh_weight
hh,,complete_sat,Household is complete -- on Saturday of travel day,,NA,1,Complete,hh_weight
hh,,complete_sat,Household is complete -- on Saturday of travel day,,NA,995,Missing,hh_weight
hh,,complete_sun,Household is complete -- on Sunday of travel day,,NA,0,Not complete,hh_weight
hh,,complete_sun,Household is complete -- on Sunday of travel day,,NA,1,Complete,hh_weight
hh,,complete_sun,Household is complete -- on Sunday of travel day,,NA,995,Missing,hh_weight
hh,,complete_thu,Household is complete -- on Thursday of travel day,,NA,0,Not complete,hh_weight
hh,,complete_thu,Household is complete -- on Thursday of travel day,,NA,1,Complete,hh_weight
hh,,complete_thu,Household is complete -- on Thursday of travel day,,NA,995,Missing,hh_weight
hh,,complete_tue,Household is complete -- on Tuesday of travel day,,NA,0,Not complete,hh_weight
hh,,complete_tue,Household is complete -- on Tuesday of travel day,,NA,1,Complete,hh_weight
hh,,complete_tue,Household is complete -- on Tuesday of travel day,,NA,995,Missing,hh_weight
hh,,complete_wed,Household is complete -- on Wednesday of travel day,,NA,0,Not complete,hh_weight
hh,,complete_wed,Household is complete -- on Wednesday of travel day,,NA,1,Complete,hh_weight
hh,,complete_wed,Household is complete -- on Wednesday of travel day,,NA,995,Missing,hh_weight
hh,,first_travel_date,NA,,NA,NA,NA,hh_weight
hh,,hh_cbg,NA,,NA,NA,NA,hh_weight
hh,,hh_city,NA,,NA,NA,NA,hh_weight
hh,,hh_city_n,NA,,NA,NA,NA,hh_weight
hh,,hh_county,NA,,NA,NA,NA,hh_weight
hh,,hh_county_n,NA,,NA,NA,NA,hh_weight
hh,,hh_id,NA,,NA,NA,NA,hh_weight
hh,,hh_in_mpo,NA,,NA,NA,NA,hh_weight
hh,,hh_thrive_category,NA,,NA,NA,NA,hh_weight
hh,,hh_thrive_category_broad,NA,,NA,NA,NA,hh_weight
hh,,hh_urban_rural_suburban,NA,,NA,NA,NA,hh_weight
hh,,hh_weight,NA,,NA,NA,NA,hh_weight
hh,,home_bg_2010,NA,,NA,NA,NA,hh_weight
hh,,home_bg_2020,NA,,NA,NA,NA,hh_weight
hh,,home_county,Home location: County,,NA,995,Missing,hh_weight
hh,,home_county,Home location: County,,NA,27001,Aitkin,hh_weight
